Kernel,Time,Speedup
3,0.86114,0.7157686322781429
3,0.659613,0.9344524744054468
3,0.624617,0.9868079158908579
3,0.623726,0.9882175827206177
3,0.62157,0.9916453496790386
3,0.620771,0.9929217054276054
5,1.484561,0.5393648357999435
5,0.979376,0.8175818071915179
5,0.874393,0.9157438360096661
5,0.876368,0.9136800978584338
5,0.888376,0.901330067448918
5,0.902926,0.8868057847486948
7,2.461615,0.44310015985440454
7,1.687666,0.6463020526573386
7,1.307747,0.8340619401153282
7,1.307727,0.8340746960183586
7,1.336902,0.815872816406887
7,1.317992,0.8275786195970841
9,3.757653,0.3902185752649327
9,2.114088,0.6935879679559224
9,1.774635,0.8262577938562015
9,1.779151,0.8241605125141149
9,1.769591,0.8286129393741266
9,1.771183,0.8278681536577531
11,5.311657,0.3686905988093734
11,2.916161,0.6715534567535881
11,2.417767,0.809986239368806
11,2.413617,0.8113789387462883
11,2.461998,0.7954344398330138
11,2.44727,0.8002214712720706
13,7.127868,0.3771064503439177
13,3.913934,0.6867680957318136
13,3.669428,0.7325297021770151
13,3.329807,0.8072434828805394
13,3.208942,0.8376483588671906
13,3.207885,0.83792436449561
15,9.656144,0.3437157730870625
15,5.2119,0.6368059632763484
15,4.091083,0.8112690453848039
15,4.060309,0.8174178369183231
15,4.064441,0.8165868319899341
15,4.063943,0.8166868974294177
