Kernel,Time,Speedup
3,0.631217,1.0210719926744685
3,0.561039,1.1487935776300757
3,0.572406,1.1259805103370686
3,0.557538,1.156007303538055
3,0.551656,1.168333164145772
3,0.552093,1.167408389528576
5,0.832273,1.0005094482219175
5,0.669032,1.2446295543411976
5,0.657249,1.2669429698637809
5,0.681054,1.2226592898654145
5,0.654501,1.2722623800422002
5,0.657954,1.2655854360639194
7,1.145629,0.9926834952676651
7,0.8255,1.3776462749848575
7,0.824054,1.380063685146847
7,0.817357,1.3913712123343898
7,0.847847,1.341335170142726
7,0.813768,1.39750764345612
9,1.539132,1.0039782162933395
9,1.018283,1.5175103581224472
9,1.013356,1.524888588018426
9,0.990393,1.560244266669898
9,1.00902,1.5314413985847655
9,0.999388,1.5462012751804104
11,2.046109,0.9975113740274835
11,1.263838,1.614935616748349
11,1.255355,1.6258484651751897
11,1.272213,1.6043044678839158
11,1.251706,1.6305881732611334
11,1.256631,1.6241975568006837
13,2.615644,0.9984332730295101
13,1.559981,1.674088338255402
13,1.760984,1.4830038205912148
13,1.619367,1.6126955779634884
13,1.543581,1.6918749323812614
13,1.55684,1.6774658924488066
15,3.309313,0.9917085509892839
15,1.901347,1.7260784065191679
15,1.97456,1.6620786403046754
15,1.892896,1.7337846347607055
15,1.882947,1.7429454997936746
15,1.889959,1.7364789394902218
